hour,hourly_consumption_mw,overall_avg_consumption_mw,pct_diff
"07:00 PM",16868.7283,15499.1504,8.84
"08:00 PM",16821.3352,15499.1504,8.53
"09:00 PM",16763.8063,15499.1504,8.16
"06:00 PM",16762.9400,15499.1504,8.15
"05:00 PM",16542.0388,15499.1504,6.73
"02:00 PM",16534.2818,15499.1504,6.68
"03:00 PM",16492.8106,15499.1504,6.41
"01:00 PM",16477.7930,15499.1504,6.31
"10:00 PM",16468.9676,15499.1504,6.26
"04:00 PM",16444.5061,15499.1504,6.10
"12:00 PM",16398.1771,15499.1504,5.80
"11:00 AM",16306.3156,15499.1504,5.21
"10:00 AM",16084.2839,15499.1504,3.78
"09:00 AM",15822.6537,15499.1504,2.09
"11:00 PM",15632.5942,15499.1504,0.86
"08:00 AM",15478.8302,15499.1504,-0.13
"07:00 AM",14781.6684,15499.1504,-4.63
"12:00 AM",14651.8989,15499.1504,-5.47
"01:00 AM",13891.4784,15499.1504,-10.37
"06:00 AM",13802.4015,15499.1504,-10.95
"02:00 AM",13432.2861,15499.1504,-13.34
"05:00 AM",13240.5358,15499.1504,-14.57
"03:00 AM",13183.7169,15499.1504,-14.94
"04:00 AM",13095.5607,15499.1504,-15.51
