hour_of_day,season,season_avg_mw,season_avg_all_hrs,pct_diff_season
"01:00 AM",Fall,12889.0715,14498.7018,-11.10
"01:00 PM",Fall,15358.0539,14498.7018,5.93
"02:00 AM",Fall,12478.8103,14498.7018,-13.93
"02:00 PM",Fall,15402.7637,14498.7018,6.24
"03:00 AM",Fall,12264.4598,14498.7018,-15.41
"03:00 PM",Fall,15347.1005,14498.7018,5.85
"04:00 AM",Fall,12201.1479,14498.7018,-15.85
"04:00 PM",Fall,15294.5908,14498.7018,5.49
"05:00 AM",Fall,12365.1383,14498.7018,-14.72
"05:00 PM",Fall,15384.9236,14498.7018,6.11
"06:00 AM",Fall,12957.5153,14498.7018,-10.63
"06:00 PM",Fall,15619.3497,14498.7018,7.73
"07:00 AM",Fall,14087.4670,14498.7018,-2.84
"07:00 PM",Fall,15724.4711,14498.7018,8.45
"08:00 AM",Fall,14771.0201,14498.7018,1.88
"08:00 PM",Fall,15864.5498,14498.7018,9.42
"09:00 AM",Fall,14977.5812,14498.7018,3.30
"09:00 PM",Fall,15837.2693,14498.7018,9.23
"10:00 AM",Fall,15152.1455,14498.7018,4.51
"10:00 PM",Fall,15329.5836,14498.7018,5.73
"11:00 AM",Fall,15292.5740,14498.7018,5.48
"11:00 PM",Fall,14478.0973,14498.7018,-0.14
"12:00 AM",Fall,13574.3604,14498.7018,-6.38
"12:00 PM",Fall,15316.7982,14498.7018,5.64
"01:00 AM",Spring,12949.1266,14407.6791,-10.12
"01:00 PM",Spring,15271.9045,14407.6791,6.00
"02:00 AM",Spring,12563.8113,14407.6791,-12.80
"02:00 PM",Spring,15227.8727,14407.6791,5.69
"03:00 AM",Spring,12383.4775,14407.6791,-14.05
"03:00 PM",Spring,15104.6933,14407.6791,4.84
"04:00 AM",Spring,12352.5800,14407.6791,-14.26
"04:00 PM",Spring,14970.5357,14407.6791,3.91
"05:00 AM",Spring,12548.0101,14407.6791,-12.91
"05:00 PM",Spring,14963.1949,14407.6791,3.86
"06:00 AM",Spring,13176.4394,14407.6791,-8.55
"06:00 PM",Spring,14961.4829,14407.6791,3.84
"07:00 AM",Spring,14245.6840,14407.6791,-1.12
"07:00 PM",Spring,14991.5287,14407.6791,4.05
"08:00 AM",Spring,14908.3921,14407.6791,3.48
"08:00 PM",Spring,15116.6553,14407.6791,4.92
"09:00 AM",Spring,15156.7818,14407.6791,5.20
"09:00 PM",Spring,15445.5078,14407.6791,7.20
"10:00 AM",Spring,15277.5846,14407.6791,6.04
"10:00 PM",Spring,15335.6064,14407.6791,6.44
"11:00 AM",Spring,15346.6157,14407.6791,6.52
"11:00 PM",Spring,14550.2337,14407.6791,0.99
"12:00 AM",Spring,13631.5800,14407.6791,-5.39
"12:00 PM",Spring,15304.9992,14407.6791,6.23
"01:00 AM",Summer,14104.3336,16133.8945,-12.58
"01:00 PM",Summer,18028.8268,16133.8945,11.75
"02:00 AM",Summer,13350.3542,16133.8945,-17.25
"02:00 PM",Summer,18507.0580,16133.8945,14.71
"03:00 AM",Summer,12860.4448,16133.8945,-20.29
"03:00 PM",Summer,18783.6680,16133.8945,16.42
"04:00 AM",Summer,12573.5965,16133.8945,-22.07
"04:00 PM",Summer,18924.9325,16133.8945,17.30
"05:00 AM",Summer,12541.2359,16133.8945,-22.27
"05:00 PM",Summer,19031.2081,16133.8945,17.96
"06:00 AM",Summer,12906.5266,16133.8945,-20.00
"06:00 PM",Summer,18956.3884,16133.8945,17.49
"07:00 AM",Summer,13510.2319,16133.8945,-16.26
"07:00 PM",Summer,18655.1247,16133.8945,15.63
"08:00 AM",Summer,14201.5353,16133.8945,-11.98
"08:00 PM",Summer,18154.9770,16133.8945,12.53
"09:00 AM",Summer,15044.3201,16133.8945,-6.75
"09:00 PM",Summer,17745.2558,16133.8945,9.99
"10:00 AM",Summer,15879.5846,16133.8945,-1.58
"10:00 PM",Summer,17541.2828,16133.8945,8.72
"11:00 AM",Summer,16737.1779,16133.8945,3.74
"11:00 PM",Summer,16531.6473,16133.8945,2.47
"12:00 AM",Summer,15210.7317,16133.8945,-5.72
"12:00 PM",Summer,17433.0254,16133.8945,8.05
"01:00 AM",Winter,15627.6295,16964.8369,-7.88
"01:00 PM",Winter,17264.3238,16964.8369,1.77
"02:00 AM",Winter,15338.7561,16964.8369,-9.59
"02:00 PM",Winter,17014.5178,16964.8369,0.29
"03:00 AM",Winter,15227.4727,16964.8369,-10.24
"03:00 PM",Winter,16753.2771,16964.8369,-1.25
"04:00 AM",Winter,15254.5170,16964.8369,-10.08
"04:00 PM",Winter,16607.6983,16964.8369,-2.11
"05:00 AM",Winter,15506.0831,16964.8369,-8.60
"05:00 PM",Winter,16810.5566,16964.8369,-0.91
"06:00 AM",Winter,16165.9675,16964.8369,-4.71
"06:00 PM",Winter,17539.9406,16964.8369,3.39
"07:00 AM",Winter,17279.4299,16964.8369,1.85
"07:00 PM",Winter,18129.3903,16964.8369,6.86
"08:00 AM",Winter,18030.9715,16964.8369,6.28
"08:00 PM",Winter,18172.7316,16964.8369,7.12
"09:00 AM",Winter,18109.9343,16964.8369,6.75
"09:00 PM",Winter,18042.4568,16964.8369,6.35
"10:00 AM",Winter,18029.1180,16964.8369,6.27
"10:00 PM",Winter,17678.0871,16964.8369,4.20
"11:00 AM",Winter,17854.0055,16964.8369,5.24
"11:00 PM",Winter,16977.3025,16964.8369,0.07
"12:00 AM",Winter,16195.3840,16964.8369,-4.54
"12:00 PM",Winter,17546.5337,16964.8369,3.43
